for,clave_de_mapa,numero_historico,proyecto,nombre_analisis,estatus_analisis,gerencia,gerencias_complementaria,responsable_tecnico_y_participantes,tematica_principal_LGAHOTDU,tematicas_secundarias_LGAHOTDU,tipo_analisis,Otros,insumos consultados,Fuente,Tipo de información,estadistica,nota_metodologica,liga_drive,Image id,Ficha,Buscar,color
02-sep-19,arm,1,POTmet,Antigüedad de tubería agua potable SIAPA,En proceso,(GTOTGS) Gerencia Técnica de Ordenamiento Territorial y Gestión del Suelo.,,,POT,,Diagnóstico,,,,,,,https://drive.google.com/file/d/1TH3iwABR8q_jSX36-GvG_a4TIy2aEYGS/view?usp=sharing,,,,
21-feb-21,I-001,2,POTmet,COBERTURA E INFRAESTRUCTURA DE AGUA POTABLE EN EL AMG - 2021,Validado,(GTGIR) Gerencia Técnica de Gestión Integral del Riesgos.,,Cuauhtémoc,PMR,GIA,Diagnóstico,,Cobertura e infraestructura de agua municipal y de SIAPA ,"Cobertura e infraestructura de agua potable municipal v2
Cobertura e infraestructura de agua potable SIAPA 2018",Restringida,https://drive.google.com/file/d/1Kv5IPZpEClTaHtmYSkVEu_ab_NhhS0ck/view?usp=sharing,https://drive.google.com/file/d/1FBRdM3Ygb0w0ycIcNHVHoHjY5EGyVN36/view?usp=sharing,https://drive.google.com/file/d/1W7YTkMjkpwtP60DI5L4SywzlosiCLEhj/view?usp=sharing,,,,
09-ene-17,I-001,1,POTmet,Cobertura y red de agua potable en el AMG,Validado,(GTOTGS) Gerencia Técnica de Ordenamiento Territorial y Gestión del Suelo.,,,POT,GIA,Base,,,,,https://drive.google.com/file/d/1Kv5IPZpEClTaHtmYSkVEu_ab_NhhS0ck/view?usp=sharing,,https://drive.google.com/open?id=1PT1uxQ-uynetVIVP6KZ3gy17LV-vVkQV,,,,
01-feb-21,I-001,2,POTmet,COBERTURA E INFRAESTRUCTURA DE AGUA POTABLE EN EL AMG - 2021,Validado,(GTGIR) Gerencia Técnica de Gestión Integral del Riesgos.,,,POT,GIA,Base,,,,,https://docs.google.com/spreadsheets/d/1Kv5IPZpEClTaHtmYSkVEu_ab_NhhS0ck/edit?usp=sharing&ouid=115555841731459112544&rtpof=true&sd=true,,https://drive.google.com/file/d/1W7YTkMjkpwtP60DI5L4SywzlosiCLEhj/view?usp=sharing,,,,
13-ene-17,I-002,1,POTmet,Antigüedad de tuberia de agua potable en el AMG,En proceso,(GTOTGS) Gerencia Técnica de Ordenamiento Territorial y Gestión del Suelo.,,,POT,,Diagnóstico,,"denue,  estructura vial , conectividad de la red vial , Indice de demanda laboral externa,  indice de suficiencia de servicios                                                         ","inegi,  ppdu,  imeplan		",Libre,,"Se propone utilizar multples criterios para la elaboración de la propuesta. Conociendo la densidad, sumatoría, conectividad, coberturas ",https://drive.google.com/open?id=12vBoWl6iT6YrdAI0V1vQW1CgQKCKoBjS,,,,
02-sep-19,I-002.2,1,POTmet,Antigüedad de tubería de agua potable SIAPA,En proceso,(GTOTGS) Gerencia Técnica de Ordenamiento Territorial y Gestión del Suelo.,,,POT,,Diagnóstico,,,,,,,https://drive.google.com/file/d/1yLcceIi_PSYC3AKiURYt2dxtx1UI5aZl/view?usp=sharing,,,,
13-ene-17,I-003,1,POTmet,Antigüedad de tuberia de alcantarillado en el AMG,En proceso,(GTOTGS) Gerencia Técnica de Ordenamiento Territorial y Gestión del Suelo.,,,POT,,Diagnóstico,,,,,,,https://drive.google.com/open?id=1wqrTAN1xbPuUjEjvnUNlWPeCbo_nLM3M,,,,
13-ene-17,I-003,2,POTmet,Antigüedad de tuberia de alcantarillado en el AMG 2019,En proceso,(GTOTGS) Gerencia Técnica de Ordenamiento Territorial y Gestión del Suelo.,,,POT,,Diagnóstico,No se encontro,,,,,,,,,,
02-sep-19,I-003.1,1,POTmet,Antigüedad de tubería alcantarillado SIAPA,En proceso,(GTOTGS) Gerencia Técnica de Ordenamiento Territorial y Gestión del Suelo.,,,POT,,Diagnóstico,,,,,,,https://drive.google.com/file/d/1B0RIMq-JgsgZPRmfkIK5Ys4BRwmU1xXX/view?usp=sharing,,,,
13-ene-17,I-004,1,POTmet,Extracción de agua de los acuíferos ,En proceso,(GTOTGS) Gerencia Técnica de Ordenamiento Territorial y Gestión del Suelo.,,,POT,,Diagnóstico,,,,,,,https://drive.google.com/open?id=19X33OXNKrAHties0cwkOmrLzwgLQLanX,,,,
02-sep-19,I-004.1,1,POTmet,Grado de explotación de los acuíferos,En proceso,(GTOTGS) Gerencia Técnica de Ordenamiento Territorial y Gestión del Suelo.,,,POT,,Diagnóstico,,,,,,,https://drive.google.com/file/d/11aHAFkoAiz-18w3Ftzn5EV2vMGhFsZXB/view?usp=sharing,,,,
